tech,window,time,device,dtype,vd,vg,vs,vb,vgs,vds,vbs,clamp_class,nn_id,nn_qg,nn_qd,nn_qs,nn_qb,nn_cgg,nn_cgd,nn_cgs,nn_cdg,nn_cdd,os_id,os_qg,os_qd,os_qs,os_qb,os_cgg,os_cgd,os_cgs,os_cdg,os_cdd
TSMC16,RISE,4.05e-10,Mnc,nmos,0.801418073385706,0.0,0.0,0.0,0.0,0.801418073385706,0.0,FREE,-5.35373714160837e-10,-4.35719127866799e-17,4.1057088462388175e-17,2.7607499199829758e-18,-2.459255956912536e-19,9.60888288042202e-17,-4.6278697475997795e-17,7.747353649572953e-19,-4.4426086253651684e-17,4.6456116071567894e-17,-0.0,-4.90871092292334e-17,4.377344529536929e-17,5.4913148053759e-18,-1.7765087151179313e-19,9.792774529659176e-17,-4.614721035853497e-17,-5.033407733792383e-17,-4.614747038351507e-17,4.614722204893083e-17
TSMC16,RISE,4.05e-10,Mnt,nmos,0.48,0.0,0.7042478623433462,0.0,-0.7042478623433462,-0.22424786234334626,-0.7042478623433462,REV,0.0,-1.2948438906781408e-18,-3.2770855566520373e-18,5.4935975737370516e-18,-9.216681264068738e-19,1.0272054009789613e-16,-4.956639268644499e-17,2.5114936830429797e-19,-4.8880057888382097e-17,5.2739512273918704e-17,-0.0,-6.788172500672117e-17,2.8783120223844294e-17,3.927625570706632e-17,-1.7765092418944327e-19,9.50719947541183e-17,-4.72041232624032e-17,-4.642141389171284e-17,-4.7204123262434236e-17,4.720412338784882e-17
TSMC16,RISE,4.05e-10,Mpc,pmos,0.801418073385706,0.0,0.8,0.8,-0.8,0.0014180733857059868,0.0,REV,0.0,-1.2157490609958868e-16,6.00344375106917e-17,6.041841897829856e-17,1.1220496105984177e-18,2.650140220228365e-16,-1.0072622854978969e-16,-6.769846577670514e-18,-1.3257615554266346e-16,9.976097703613889e-17,-7.33232252692062e-07,-1.2248211461259843e-16,6.074108196903543e-17,6.061640319190738e-17,1.1246294516556282e-18,2.652392878089812e-16,-1.3214083987048993e-16,-1.3194644793848812e-16,-1.3205391231613773e-16,1.1003591933230573e-16
TSMC16,RISE,4.05e-10,Mpt,pmos,0.48,0.801418073385706,0.7042478623433462,0.8,0.09717021104235979,-0.22424786234334626,0.0957521376566538,FREE,0.0,2.989595343857352e-17,-2.1161984666633962e-17,-9.06230530073278e-18,3.283365287932209e-19,1.0351356368642925e-16,-5.0837626954799357e-17,7.58711009628107e-19,-5.266858722403487e-17,5.0926458596242935e-17,-0.0,4.245061622630109e-17,-2.690400871881422e-17,-1.5748003265827978e-17,2.0139575834110964e-19,1.0076649425334694e-16,-4.890723079163903e-17,-5.070725605241206e-17,-4.890723320272313e-17,4.890723093358434e-17
TSMC16,RISE,4.1e-10,Mnc,nmos,0.8014138160294688,0.0,0.0,0.0,0.0,0.8014138160294688,0.0,FREE,-5.203032624226404e-10,-4.3571733970378605e-17,4.1056894134211777e-17,2.7607662485155717e-18,-2.4592641234874306e-19,9.608881252591041e-17,-4.6278724473260593e-17,7.747398615666956e-19,-4.4426094371995206e-17,4.64561422992042e-17,-0.0,-4.908691276409542e-17,4.377324883018154e-17,5.491314805425171e-18,-1.7765087151129234e-19,9.792775662458301e-17,-4.614722168915815e-17,-5.0334077335291915e-17,-4.6147481713151127e-17,4.614723337950906e-17
TSMC16,RISE,4.1e-10,Mnt,nmos,0.48,0.0,0.7042478587958808,0.0,-0.7042478587958808,-0.22424785879588083,-0.7042478587958808,REV,0.0,-1.2948438906781408e-18,-3.2770855566520373e-18,5.4935975737370516e-18,-9.216681264068738e-19,1.0272054009789613e-16,-4.956639268644499e-17,2.5114936830429797e-19,-4.8880057888382097e-17,5.2739512273918704e-17,-0.0,-6.788172484204281e-17,2.8783120223844294e-17,3.9276255542387956e-17,-1.7765092418944284e-19,9.507199476473467e-17,-4.72041232624032e-17,-4.6421413902329203e-17,-4.7204123262434236e-17,4.720412338784882e-17
TSMC16,RISE,4.1e-10,Mpc,pmos,0.8014138160294688,0.0,0.8,0.8,-0.8,0.001413816029468773,0.0,REV,0.0,-1.2157449161667944e-16,6.00340246279791e-17,6.041841877865246e-17,1.122048210047873e-18,2.6501425685770493e-16,-1.0072823032146974e-16,-6.769815923624961e-18,-1.325759636205806e-16,9.976807385870443e-17,-7.310271277205516e-07,-1.2248155204279736e-16,6.074061350720911e-17,6.0616309083932e-17,1.1246294516562427e-18,2.652391048894524e-16,-1.321404510353646e-16,-1.319466538540846e-16,-1.3205379011138556e-16,1.1003569608851447e-16
TSMC16,RISE,4.1e-10,Mpt,pmos,0.48,0.8014138160294688,0.7042478587958808,0.8,0.09716595723358801,-0.22424785879588083,0.09575214120411923,FREE,0.0,2.989587278441834e-17,-2.1161942144901967e-17,-9.062267868584462e-18,3.2833722906808975e-19,1.0351348006007576e-16,-5.083760991817648e-17,7.5870452979456955e-19,-5.266854384684844e-17,5.092644638540512e-17,-0.0,4.2450187407172224e-17,-2.690380050324004e-17,-1.5747787566779218e-17,2.0140066284703364e-19,1.007665639512046e-16,-4.890725891697734e-17,-5.070729762615095e-17,-4.8907261328423993e-17,4.8907259058925175e-17
TSMC16,RISE,4.1499999999999996e-10,Mnc,nmos,0.8014097174831651,0.0,0.0,0.0,0.0,0.8014097174831651,0.0,FREE,-4.981425458978821e-10,-4.357151541722027e-17,4.105669980635496e-17,2.7607428398715447e-18,-2.459272290062325e-19,9.608887886205047e-17,-4.6278716731447283e-17,7.747427358856241e-19,-4.442609572512148e-17,4.645612324826267e-17,-0.0,-4.9086723627548195e-17,4.3773059693586405e-17,5.4913148054726006e-18,-1.7765087151081025e-19,9.79277675300651e-17,-4.614723259717401e-17,-5.033407733275814e-17,-4.614749262021668e-17,4.614724428748166e-17
TSMC16,RISE,4.1499999999999996e-10,Mnt,nmos,0.48,0.0,0.7042478549287918,0.0,-0.7042478549287918,-0.22424785492879185,-0.7042478549287918,REV,0.0,-1.2948438906781408e-18,-3.2770855566520373e-18,5.4935975737370516e-18,-9.216681264068738e-19,1.0272054009789613e-16,-4.956639268644499e-17,2.5114936830429797e-19,-4.8880057888382097e-17,5.2739512273918704e-17,-0.0,-6.788172466252707e-17,2.8783120223844294e-17,3.9276255362872217e-17,-1.7765092418944238e-19,9.507199477630755e-17,-4.72041232624032e-17,-4.642141391390209e-17,-4.7204123262434236e-17,4.720412338784882e-17
