tech,window,time,device,dtype,vd,vg,vs,vb,vgs,vds,vbs,clamp_class,nn_id,nn_qg,nn_qd,nn_qs,nn_qb,nn_cgg,nn_cgd,nn_cgs,nn_cdg,nn_cdd,os_id,os_qg,os_qd,os_qs,os_qb,os_cgg,os_cgd,os_cgs,os_cdg,os_cdd
TSMC12,RISE,4.05e-10,Mnc,nmos,0.8000000020862614,0.0,0.0,0.0,0.0,0.8000000020862614,0.0,FREE,0.0,-4.220025125256116e-17,3.9305523403556125e-17,3.15857462013205e-18,-2.638467711270171e-19,8.891844774620693e-17,-4.391766338982146e-17,5.865262774913722e-19,-4.1693935444472996e-17,4.356884228715213e-17,-0.0,-4.7616302335255544e-17,4.182831376719487e-17,5.965639438426629e-18,-1.776508703659565e-19,9.201101048453201e-17,-4.329539170479014e-17,-4.72120187797129e-17,-4.329571600412985e-17,4.3295405757130945e-17
TSMC12,RISE,4.05e-10,Mnt,nmos,0.48,0.0,0.634290529408185,0.0,-0.634290529408185,-0.154290529408185,-0.634290529408185,REV,0.0,-5.1767958544109495e-18,1.868004617914079e-19,6.0178135352450935e-18,-1.0278181426255524e-18,9.717254285925234e-17,-4.462690077363877e-17,7.947267987767742e-19,-4.94247954781974e-17,4.845967994763637e-17,-0.0,-6.226250420798599e-17,2.782387487427294e-17,3.461628024847947e-17,-1.776509147664228e-19,8.956949715051573e-17,-4.430127717227185e-17,-4.376461997823906e-17,-4.4301277172409015e-17,4.43012772984061e-17
TSMC12,RISE,4.05e-10,Mpc,pmos,0.8000000020862614,0.0,0.8,0.8,-0.8,2.0862613858696477e-09,0.0,REV,0.0,-1.159959952861907e-16,5.694850323701046e-17,5.792714927927013e-17,1.120342769910094e-18,2.564572169101494e-16,-1.3843225969737824e-16,-6.132022991413041e-18,-1.2762913203809445e-16,1.0617869729749085e-16,-0.0,-1.1638405119481412e-16,5.762971095899805e-17,5.762971078369967e-17,1.1246294521163875e-18,2.575912813082691e-16,-1.282196401955608e-16,-1.2821964111270818e-16,-1.2821964066905855e-16,1.0612229970350157e-16
TSMC12,RISE,4.05e-10,Mpt,pmos,0.48,0.8000000020862614,0.634290529408185,0.8,0.16570947267807645,-0.154290529408185,0.16570947059181507,NEAR0,0.0,2.776476777931594e-17,-1.8044008275614688e-17,-1.0154297970077391e-17,4.3353846637613673e-19,9.957384146984277e-17,-4.652589420319831e-17,2.457562618075347e-19,-5.144926449460162e-17,4.5830271306043216e-17,-0.0,4.400530462992873e-17,-2.5611389467964156e-17,-1.8596944558379405e-17,2.0302939641483294e-19,9.212781384649659e-17,-4.490333437786268e-17,-4.6072472482308125e-17,-4.490333451488181e-17,4.4903334500987074e-17
TSMC12,RISE,4.1e-10,Mnc,nmos,0.8000000000000003,0.0,0.0,0.0,0.0,0.8000000000000003,0.0,FREE,0.0,-4.220025125256116e-17,3.9305523403556125e-17,3.15857462013205e-18,-2.638467711270171e-19,8.891844774620693e-17,-4.391766338982146e-17,5.865262774913722e-19,-4.1693935444472996e-17,4.356884228715213e-17,-0.0,-4.761630224493006e-17,4.1828313676869354e-17,5.96563943842666e-18,-1.7765087036595627e-19,9.201101048987952e-17,-4.3295391710139053e-17,-4.721201877971151e-17,-4.329571600947826e-17,4.329540576247983e-17
TSMC12,RISE,4.1e-10,Mnt,nmos,0.48,0.0,0.6342905294081852,0.0,-0.6342905294081852,-0.15429052940818522,-0.6342905294081852,REV,0.0,-5.1767958544109495e-18,1.868004617914079e-19,6.0178135352450935e-18,-1.0278181426255524e-18,9.717254285925234e-17,-4.462690077363877e-17,7.947267987767742e-19,-4.94247954781974e-17,4.845967994763637e-17,-0.0,-6.226250420798601e-17,2.782387487427294e-17,3.4616280248479494e-17,-1.776509147664228e-19,8.956949715051573e-17,-4.430127717227185e-17,-4.376461997823906e-17,-4.4301277172409015e-17,4.43012772984061e-17
TSMC12,RISE,4.1e-10,Mpc,pmos,0.8000000000000003,0.0,0.8,0.8,-0.8,2.220446049250313e-16,0.0,REV,0.0,-1.159959952861907e-16,5.694850323701046e-17,5.792714927927013e-17,1.120342769910094e-18,2.564572169101494e-16,-1.3843225969737824e-16,-6.132022991413041e-18,-1.2762913203809445e-16,1.0617869729749085e-16,-0.0,-1.1638405092731442e-16,5.762971073759902e-17,5.7629710737599e-17,1.1246294521163879e-18,2.5759128121963647e-16,-1.282196400150494e-16,-1.28219641204587e-16,-1.282196406098182e-16,1.0612229959832178e-16
TSMC12,RISE,4.1e-10,Mpt,pmos,0.48,0.8000000000000003,0.6342905294081852,0.8,0.16570947059181507,-0.15429052940818522,0.16570947059181484,NEAR0,0.0,2.776476777931594e-17,-1.8044008275614688e-17,-1.0154297970077391e-17,4.3353846637613673e-19,9.957384146984277e-17,-4.652589420319831e-17,2.457562618075347e-19,-5.144926449460162e-17,4.5830271306043216e-17,-0.0,4.4005304437726016e-17,-2.5611389374284073e-17,-1.859694446226019e-17,2.0302939881824478e-19,9.212781387839756e-17,-4.490333439175095e-17,-4.6072472500321406e-17,-4.490333452877007e-17,4.490333451487534e-17
TSMC12,RISE,4.1499999999999996e-10,Mnc,nmos,0.8000000020862614,0.0,0.0,0.0,0.0,0.8000000020862614,0.0,FREE,0.0,-4.220025125256116e-17,3.9305523403556125e-17,3.15857462013205e-18,-2.638467711270171e-19,8.891844774620693e-17,-4.391766338982146e-17,5.865262774913722e-19,-4.1693935444472996e-17,4.356884228715213e-17,-0.0,-4.7616302335255544e-17,4.182831376719487e-17,5.965639438426629e-18,-1.776508703659565e-19,9.201101048453201e-17,-4.329539170479014e-17,-4.72120187797129e-17,-4.329571600412985e-17,4.3295405757130945e-17
TSMC12,RISE,4.1499999999999996e-10,Mnt,nmos,0.48,0.0,0.6342905294081854,0.0,-0.6342905294081854,-0.15429052940818544,-0.6342905294081854,REV,0.0,-5.1767958544109495e-18,1.868004617914079e-19,6.0178135352450935e-18,-1.0278181426255524e-18,9.717254285925234e-17,-4.462690077363877e-17,7.947267987767742e-19,-4.94247954781974e-17,4.845967994763637e-17,-0.0,-6.226250420798601e-17,2.782387487427294e-17,3.4616280248479494e-17,-1.776509147664228e-19,8.956949715051573e-17,-4.430127717227185e-17,-4.376461997823906e-17,-4.4301277172409015e-17,4.43012772984061e-17
