region,tech,device,dtype,vgs_V,vds_V,vbs_V,id_raw_nn_A,id_postclamp_A,id_osdi_A,ratio_raw_over_osdi,sign_match
sram_state1,TSMC5,Mpl,pmos,-0.5656291677296031,0.02590291346237583,0.0,-5.592044456541558e-06,-0.0,-8.029108822249498e-06,0.6964713743878299,Y
sram_state1,TSMC5,Mnl,nmos,0.08437083227039689,0.6759029134623759,0.0,-5.530766575798369e-09,-1.0377783139288183e-06,-0.0,nan,Y
sram_state1,TSMC5,Mpr,pmos,0.02590291346237583,-0.5656291677296031,0.0,-2.0756494380513014e-08,0.0,-0.0,nan,Y
sram_state1,TSMC5,Mnr,nmos,0.6759029134623759,0.08437083227039689,0.0,-5.276286503566226e-05,-4.6698359837256386e-05,-5.4268942159541034e-05,0.9722478997388382,Y
sram_state1,TSMC5,Mal,nmos,0.5656291677296031,0.5656291677296031,-0.08437083227039689,-5.274328378714209e-05,-5.274325727414663e-05,-4.8715630862616877e-05,1.0826768093362809,Y
sram_state1,TSMC5,Mar,nmos,-0.02590291346237583,-0.02590291346237583,-0.6759029134623759,2.095069549117281e-07,0.0,-0.0,nan,n
sram_state1,TSMC7,Mpl,pmos,0.03458852290863024,-0.6326526442717375,0.0,3.196281958244242e-07,3.1962794525867954e-07,-0.0,nan,n
sram_state1,TSMC7,Mnl,nmos,0.7845885229086302,0.11734735572826249,0.0,-8.282702824319768e-05,-7.67224719846434e-05,-9.70795964588822e-05,0.8531867793484169,Y
sram_state1,TSMC7,Mpr,pmos,-0.6326526442717375,0.03458852290863024,0.0,-1.0183661943437162e-05,-0.0,-1.371444302566971e-05,0.7425501658635437,Y
sram_state1,TSMC7,Mnr,nmos,0.11734735572826249,0.7845885229086302,0.0,1.3315024326800898e-08,-1.5818394892995208e-06,-2.261746345766369e-08,0.5887054643295662,n
sram_state1,TSMC7,Mal,nmos,-0.03458852290863024,-0.03458852290863024,-0.7845885229086302,-3.387391512731233e-08,-0.0,-0.0,nan,Y
sram_state1,TSMC7,Mar,nmos,0.6326526442717375,0.6326526442717375,-0.11734735572826249,-8.56154464202952e-05,-8.561537930388194e-05,-9.558325875236307e-05,0.8957159186433218,Y
sram_state1,TSMC12,Mpl,pmos,0.036985571726030675,-0.6958301509479574,0.0,4.865565238566403e-09,4.8655627759312585e-09,-0.0,nan,n
sram_state1,TSMC12,Mnl,nmos,0.8369855717260307,0.10416984905204268,0.0,-6.769807637798333e-05,-5.9970057211704006e-05,-6.645894029544408e-05,1.0186451375395191,Y
sram_state1,TSMC12,Mpr,pmos,-0.6958301509479574,0.036985571726030675,0.0,-1.1340775494160929e-05,-0.0,-1.5356266147570352e-05,0.7385112621244359,Y
sram_state1,TSMC12,Mnr,nmos,0.10416984905204268,0.8369855717260307,0.0,1.624424020937859e-08,-1.6936713593828112e-06,-0.0,nan,n
sram_state1,TSMC12,Mal,nmos,-0.036985571726030675,-0.036985571726030675,-0.8369855717260307,1.4480230752271894e-07,0.0,-0.0,nan,n
sram_state1,TSMC12,Mar,nmos,0.6958301509479574,0.6958301509479574,-0.10416984905204268,-6.602582933546592e-05,-6.602579591745182e-05,-6.604492674977536e-05,0.9997108420699475,Y
sram_state1,TSMC16,Mpl,pmos,0.03603508192867744,-0.6936357486114014,0.0,-5.310609406202976e-08,0.0,-0.0,nan,Y
sram_state1,TSMC16,Mnl,nmos,0.8360350819286775,0.10636425138859862,0.0,-6.415031773455838e-05,-5.715453752473315e-05,-6.321290459132545e-05,1.014829458467276,Y
sram_state1,TSMC16,Mpr,pmos,-0.6936357486114014,0.03603508192867744,0.0,-1.0360851396017988e-05,-0.0,-1.436736141169348e-05,0.7211380781153994,Y
sram_state1,TSMC16,Mnr,nmos,0.10636425138859862,0.8360350819286775,0.0,-9.337557929888603e-09,-1.6324964254162181e-06,-0.0,nan,Y
sram_state1,TSMC16,Mal,nmos,-0.03603508192867744,-0.03603508192867744,-0.8360350819286775,-1.7646340530966778e-07,-0.0,-0.0,nan,Y
sram_state1,TSMC16,Mar,nmos,0.6936357486114014,0.6936357486114014,-0.10636425138859862,-6.268748550198304e-05,-6.268745228943924e-05,-6.273396413458698e-05,0.9992591153254043,Y
corridor,TSMC5,Mnr,nmos,0.13,-0.195,0.0,1.629704577854558e-07,0.0,1.2805412841210284e-06,0.1272668517652047,Y
corridor,TSMC5,Mnr,nmos,0.13,-0.17786363636363636,0.0,9.959922301193884e-08,0.0,7.652956601766903e-07,0.13014476390594393,Y
corridor,TSMC5,Mnr,nmos,0.13,-0.16072727272727272,0.0,8.504023555009756e-08,0.0,4.4231013296425203e-07,0.19226381946119828,Y
corridor,TSMC5,Mnr,nmos,0.13,-0.14359090909090907,0.0,9.939305876877128e-08,0.0,2.4901686268563594e-07,0.3991418801796051,Y
corridor,TSMC5,Mnr,nmos,0.13,-0.12645454545454543,0.0,1.1129904808518385e-07,0.0,1.375026481564845e-07,0.8094320333272439,Y
corridor,TSMC5,Mnr,nmos,0.13,-0.10931818181818183,0.0,9.688924848774217e-08,0.0,7.483279274023147e-08,1.2947431859729692,Y
corridor,TSMC5,Mnr,nmos,0.13,-0.09218181818181818,0.0,5.8729916837826794e-08,0.0,4.021188937386455e-08,1.4605112505854527,Y
corridor,TSMC5,Mnr,nmos,0.13,-0.07504545454545454,0.0,2.1408853977660465e-08,0.0,2.1274204620169712e-08,1.0063292310991074,Y
corridor,TSMC5,Mnr,nmos,0.13,-0.0579090909090909,0.0,7.49086355740562e-10,0.0,1.0950587658875577e-08,0.06840604167333604,Y
corridor,TSMC5,Mnr,nmos,0.13,-0.040772727272727266,0.0,-2.9481015910790916e-08,-0.0,5.301578620553471e-09,5.560799531765348,n
corridor,TSMC5,Mnr,nmos,0.13,-0.023636363636363646,0.0,-4.2648367072277924e-08,-0.0,2.178642682926224e-09,19.575659380268434,n
corridor,TSMC5,Mnr,nmos,0.13,-0.006500000000000001,0.0,2.691559420836643e-08,0.0,-0.0,nan,n
corridor,TSMC5,Mnr,nmos,0.26,-0.195,0.0,8.874651713688344e-06,0.0,1.6906256034010525e-05,0.5249330008864823,Y
corridor,TSMC5,Mnr,nmos,0.26,-0.17786363636363636,0.0,7.52501545254087e-06,0.0,1.3285479688596169e-05,0.5664090141208904,Y
corridor,TSMC5,Mnr,nmos,0.26,-0.16072727272727272,0.0,6.197603979524304e-06,0.0,1.0138315520435981e-05,0.6113050996520758,Y
corridor,TSMC5,Mnr,nmos,0.26,-0.14359090909090907,0.0,4.9307487245278915e-06,0.0,7.486751829599569e-06,0.6585965231321971,Y
corridor,TSMC5,Mnr,nmos,0.26,-0.12645454545454543,0.0,3.75401511024317e-06,0.0,5.3288000123608015e-06,0.704476636679041,Y
