tech,window,time,device,dtype,vd,vg,vs,vb,vgs,vds,vbs,clamp_class,nn_id,nn_qg,nn_qd,nn_qs,nn_qb,nn_cgg,nn_cgd,nn_cgs,nn_cdg,nn_cdd,os_id,os_qg,os_qd,os_qs,os_qb,os_cgg,os_cgd,os_cgs,os_cdg,os_cdd
TSMC5,RISE,4.05e-10,Mnc,nmos,0.6540942061779242,0.0,0.0,0.0,0.0,0.6540942061779242,0.0,FREE,0.0,-1.2986426785472839e-17,9.913682597532927e-18,3.413058145484609e-18,-3.4031395754469745e-19,2.3099630139430177e-17,-8.70877713328308e-18,1.602163425094469e-19,-8.509064769715631e-18,8.574549291254474e-18,-0.0,-1.4061644042297852e-17,1.0301896405257325e-17,3.961623617036695e-18,-2.018759799961673e-19,2.2966671623695652e-17,-8.452708741751938e-18,-1.1435962881918763e-17,-8.452951518331182e-18,8.452711574277343e-18
TSMC5,RISE,4.05e-10,Mnt,nmos,0.39,0.0,0.3899998803389797,0.0,-0.3899998803389797,1.196610203146875e-07,-0.3899998803389797,NEAR0,0.0,-6.5932462664803865e-18,4.118380526950257e-18,3.791500167788043e-18,-1.3166344282579133e-18,2.595040725548381e-17,-1.311821252140364e-17,1.9482693238001016e-20,-1.1610996068108082e-17,1.1782377347038149e-17,-0.0,-1.572274855320351e-17,7.962312836857395e-18,7.962311722214138e-18,-2.0187600586802476e-19,2.1708013927862637e-17,-9.315006745917308e-18,-9.315007181943823e-18,-9.315006731275095e-18,9.315006894532318e-18
TSMC5,RISE,4.05e-10,Mpc,pmos,0.6540942061779242,0.0,0.65,0.65,-0.65,0.00409420617792422,0.0,REV,0.0,-5.242060663719281e-17,2.357849987464222e-17,2.3589584959511122e-17,5.2525218030394745e-18,1.963055305403745e-16,-1.3929839839381491e-16,-2.4641383820760925e-18,-9.400419143925479e-17,4.95891521924552e-17,-1.6790906443020504e-06,-5.300498917603152e-17,2.3966672195150976e-17,2.3779484962114756e-17,5.258832018765785e-18,1.96612237555579e-16,-9.49517262565794e-17,-9.393027190287894e-17,-9.448682508892952e-17,7.03535555555372e-17
TSMC5,RISE,4.05e-10,Mpt,pmos,0.39,0.6540942061779242,0.3899998803389797,0.65,0.26409432583894454,1.196610203146875e-07,0.2600001196610203,REV,0.0,8.437399252777638e-18,-5.425824166050619e-18,-5.205706152815338e-18,2.1941310660883188e-18,3.253104500870211e-17,-1.4176073293887205e-17,1.0967911070247232e-19,-1.2055572463960818e-17,1.293933898031657e-17,-0.0,1.7344570215895192e-17,-8.77354759597119e-18,-8.773548988194878e-18,2.0252636827087546e-19,3.099972382700578e-17,-1.1634730355524727e-17,-1.1634729774294165e-17,-1.1634730374199806e-17,1.1634730520701916e-17
TSMC5,RISE,4.1e-10,Mnc,nmos,0.6540941979039451,0.0,0.0,0.0,0.0,0.6540941979039451,0.0,FREE,0.0,-1.2986426785472839e-17,9.913682597532927e-18,3.413058145484609e-18,-3.4031395754469745e-19,2.3099630139430177e-17,-8.70877713328308e-18,1.602163425094469e-19,-8.509064769715631e-18,8.574549291254474e-18,-0.0,-1.4061643972360316e-17,1.0301896335319762e-17,3.9616236170367196e-18,-2.0187597999616613e-19,2.2966671646429308e-17,-8.452708764486543e-18,-1.1435962881917816e-17,-8.452951541065644e-18,8.452711597011943e-18
TSMC5,RISE,4.1e-10,Mnt,nmos,0.39,0.0,0.3899998803389798,0.0,-0.3899998803389798,1.196610202036652e-07,-0.3899998803389798,NEAR0,0.0,-6.5932462664803865e-18,4.118380526950257e-18,3.791500167788043e-18,-1.3166344282579133e-18,2.595040725548381e-17,-1.311821252140364e-17,1.9482693238001016e-20,-1.1610996068108082e-17,1.1782377347038149e-17,-0.0,-1.572274855320351e-17,7.962312836857395e-18,7.962311722214138e-18,-2.0187600586802476e-19,2.1708013927862634e-17,-9.315006745917324e-18,-9.315007181943806e-18,-9.315006731275095e-18,9.315006894532329e-18
TSMC5,RISE,4.1e-10,Mpc,pmos,0.6540941979039451,0.0,0.65,0.65,-0.65,0.0040941979039450516,0.0,REV,0.0,-5.242060663719281e-17,2.357849987464222e-17,2.3589584959511122e-17,5.2525218030394745e-18,1.963055305403745e-16,-1.3929839839381491e-16,-2.4641383820760925e-18,-9.400419143925479e-17,4.95891521924552e-17,-1.679087202610674e-06,-5.3004988390402915e-17,2.396667161304697e-17,2.3779484758590156e-17,5.258832018765787e-18,1.9661223707732063e-16,-9.495172490236281e-17,-9.393027277883353e-17,-9.448682475801785e-17,7.035355481761964e-17
TSMC5,RISE,4.1e-10,Mpt,pmos,0.39,0.6540941979039451,0.3899998803389798,0.65,0.26409431756496526,1.196610202036652e-07,0.2600001196610202,REV,0.0,8.437399252777638e-18,-5.425824166050619e-18,-5.205706152815338e-18,2.1941310660883188e-18,3.253104500870211e-17,-1.4176073293887205e-17,1.0967911070247232e-19,-1.2055572463960818e-17,1.293933898031657e-17,-0.0,1.734456995940412e-17,-8.773547499705674e-18,-8.773548891929367e-18,2.025264322309218e-19,3.099972391254189e-17,-1.1634730398296579e-17,-1.1634729817066029e-17,-1.1634730416971667e-17,1.1634730563473776e-17
TSMC5,RISE,4.1499999999999996e-10,Mnc,nmos,0.654094206177927,0.0,0.0,0.0,0.0,0.654094206177927,0.0,FREE,0.0,-1.2986426785472839e-17,9.913682597532927e-18,3.413058145484609e-18,-3.4031395754469745e-19,2.3099630139430177e-17,-8.70877713328308e-18,1.602163425094469e-19,-8.509064769715631e-18,8.574549291254474e-18,-0.0,-1.4061644042297877e-17,1.0301896405257348e-17,3.9616236170366964e-18,-2.018759799961673e-19,2.2966671623695643e-17,-8.452708741751932e-18,-1.1435962881918762e-17,-8.452951518331176e-18,8.452711574277333e-18
TSMC5,RISE,4.1499999999999996e-10,Mnt,nmos,0.39,0.0,0.3899998803389799,0.0,-0.3899998803389799,1.196610200926429e-07,-0.3899998803389799,NEAR0,0.0,-6.5932462664803865e-18,4.118380526950257e-18,3.791500167788043e-18,-1.3166344282579133e-18,2.595040725548381e-17,-1.311821252140364e-17,1.9482693238001016e-20,-1.1610996068108082e-17,1.1782377347038149e-17,-0.0,-1.572274855320351e-17,7.962312836857395e-18,7.962311722214138e-18,-2.0187600586802476e-19,2.1708013927862634e-17,-9.315006745917324e-18,-9.315007181943806e-18,-9.315006731275095e-18,9.315006894532329e-18
