              * rc low-pass filter - ac analysis test for ngspice
              AC Analysis  Tue Feb 10 11:17:01  2026
--------------------------------------------------------------------------------
Index   frequency       vdb(2)          vp(2)           
--------------------------------------------------------------------------------
0	1.000000e+02	-1.71115e-02	-6.27494e-02	
1	1.258925e+02	-2.70887e-02	-7.89363e-02	
2	1.584893e+02	-4.28548e-02	-9.92546e-02	
3	1.995262e+02	-6.77257e-02	-1.24715e-01	
4	2.511886e+02	-1.06854e-01	-1.56535e-01	
5	3.162278e+02	-1.68155e-01	-1.96137e-01	
6	3.981072e+02	-2.63572e-01	-2.45109e-01	
7	5.011872e+02	-4.10630e-01	-3.05075e-01	
8	6.309573e+02	-6.33958e-01	-3.77436e-01	
9	7.943282e+02	-9.65944e-01	-4.62920e-01	
10	1.000000e+03	-1.44507e+00	-5.60982e-01	
11	1.258925e+03	-2.11038e+00	-6.69233e-01	
12	1.584893e+03	-2.99214e+00	-7.83303e-01	
13	1.995262e+03	-4.10214e+00	-8.97481e-01	
14	2.511886e+03	-5.42940e+00	-1.00603e+00	
15	3.162278e+03	-6.94416e+00	-1.10452e+00	
16	3.981072e+03	-8.60752e+00	-1.19048e+00	
17	5.011872e+03	-1.03808e+01	-1.26331e+00	
18	6.309573e+03	-1.22315e+01	-1.32371e+00	
19	7.943282e+03	-1.41345e+01	-1.37305e+00	
20	1.000000e+04	-1.60722e+01	-1.41297e+00	
21	1.258925e+04	-1.80325e+01	-1.44504e+00	
22	1.584893e+04	-2.00072e+01	-1.47071e+00	
23	1.995262e+04	-2.19911e+01	-1.49120e+00	
24	2.511886e+04	-2.39810e+01	-1.50752e+00	
25	3.162278e+04	-2.59746e+01	-1.52051e+00	
26	3.981072e+04	-2.79705e+01	-1.53084e+00	
27	5.011872e+04	-2.99680e+01	-1.53905e+00	
28	6.309573e+04	-3.19664e+01	-1.54558e+00	
29	7.943282e+04	-3.39653e+01	-1.55076e+00	
30	1.000000e+05	-3.59647e+01	-1.55488e+00	
